"Marca temporal","Puntuación total","¿Tiene 18 años o más y acepta participar voluntariamente?","¿Tiene 18 años o más y acepta participar voluntariamente? [Puntuación]","¿Tiene 18 años o más y acepta participar voluntariamente? [Comentarios]","¿Desde cuál rol responde?","¿Desde cuál rol responde? [Puntuación]","¿Desde cuál rol responde? [Comentarios]","¿Donde se ubica principalmente el gimnasio con el que se relaciona?","¿Donde se ubica principalmente el gimnasio con el que se relaciona? [Puntuación]","¿Donde se ubica principalmente el gimnasio con el que se relaciona? [Comentarios]","¿Cuantos miembros activos administra aproxidamente?","¿Cuantos miembros activos administra aproxidamente? [Puntuación]","¿Cuantos miembros activos administra aproxidamente? [Comentarios]","¿Qué herramientas utiliza actualmente para administrar el gimnasio a sus clientes?","¿Qué herramientas utiliza actualmente para administrar el gimnasio a sus clientes? [Puntuación]","¿Qué herramientas utiliza actualmente para administrar el gimnasio a sus clientes? [Comentarios]","¿Cuales tareas le generan mayor dificultad o tiempo?","¿Cuales tareas le generan mayor dificultad o tiempo? [Puntuación]","¿Cuales tareas le generan mayor dificultad o tiempo? [Comentarios]","¿Con qué frecuencia ocurren errores, atrasos o confusiones por la forma actual de gestionar información?","¿Con qué frecuencia ocurren errores, atrasos o confusiones por la forma actual de gestionar información? [Puntuación]","¿Con qué frecuencia ocurren errores, atrasos o confusiones por la forma actual de gestionar información? [Comentarios]","¿Qué funciones serían más valiosas en una plataforma?","¿Qué funciones serían más valiosas en una plataforma? [Puntuación]","¿Qué funciones serían más valiosas en una plataforma? [Comentarios]","¿Desde que dispositivo esperaría administrar principalmente el sistema?","¿Desde que dispositivo esperaría administrar principalmente el sistema? [Puntuación]","¿Desde que dispositivo esperaría administrar principalmente el sistema? [Comentarios]","¿Estarías dispuesto a probar durante 4 semanas una plataforma con datos de demostración y acompañamiento?","¿Estarías dispuesto a probar durante 4 semanas una plataforma con datos de demostración y acompañamiento? [Puntuación]","¿Estarías dispuesto a probar durante 4 semanas una plataforma con datos de demostración y acompañamiento? [Comentarios]","Si la plataforma soluciona todas las funciones seleccionas, ¿qué rango mensual considedaría razonable?","Si la plataforma soluciona todas las funciones seleccionas, ¿qué rango mensual considedaría razonable? [Puntuación]","Si la plataforma soluciona todas las funciones seleccionas, ¿qué rango mensual considedaría razonable? [Comentarios]","¿Qué apoyo sería más importante para adoptar a la plataforma?","¿Qué apoyo sería más importante para adoptar a la plataforma? [Puntuación]","¿Qué apoyo sería más importante para adoptar a la plataforma? [Comentarios]","¿Qué tan importante considera controlar quién accede a datos de miembros, pagos y progreso?","¿Qué tan importante considera controlar quién accede a datos de miembros, pagos y progreso? [Puntuación]","¿Qué tan importante considera controlar quién accede a datos de miembros, pagos y progreso? [Comentarios]","¿Qué condición tendría que cumplir GymHub para que fuera útil en su trabajo?","¿Qué condición tendría que cumplir GymHub para que fuera útil en su trabajo? [Puntuación]","¿Qué condición tendría que cumplir GymHub para que fuera útil en su trabajo? [Comentarios]","¿Con que frecuencia asiste  normalmente al gimnasio?","¿Con que frecuencia asiste  normalmente al gimnasio? [Puntuación]","¿Con que frecuencia asiste  normalmente al gimnasio? [Comentarios]","¿Qué información puede consultar actualmente de forma digital?","¿Qué información puede consultar actualmente de forma digital? [Puntuación]","¿Qué información puede consultar actualmente de forma digital? [Comentarios]","¿Qué situaciones le generan mayor dificultad?","¿Qué situaciones le generan mayor dificultad? [Puntuación]","¿Qué situaciones le generan mayor dificultad? [Comentarios]","¿Desde qué dispositivo utilizarías GymHub? ","¿Desde qué dispositivo utilizarías GymHub?  [Puntuación]","¿Desde qué dispositivo utilizarías GymHub?  [Comentarios]","¿Qué tan útil sería reunir pagos, asistencia, rutina y progreso en un solo lugar?","¿Qué tan útil sería reunir pagos, asistencia, rutina y progreso en un solo lugar? [Puntuación]","¿Qué tan útil sería reunir pagos, asistencia, rutina y progreso en un solo lugar? [Comentarios]","¿Qué función haría qué usted usará una aplicación de un gimnasio?","¿Qué función haría qué usted usará una aplicación de un gimnasio? [Puntuación]","¿Qué función haría qué usted usará una aplicación de un gimnasio? [Comentarios]"," ¿Qué haría que utilizara o dejará de utilizar una aplicación de gimnasio?"," ¿Qué haría que utilizara o dejará de utilizar una aplicación de gimnasio? [Puntuación]"," ¿Qué haría que utilizara o dejará de utilizar una aplicación de gimnasio? [Comentarios]"
"2026/07/08 10:40:36 a.m. GMT-6","0.00 / 0","Sí, acepto participar.","-- / 0","","Dueño o administrador de gimnasio","-- / 0","","Pérez Zeledón","-- / 0","","No sé","-- / 0","","Cuaderno o formularios en papel;Excel o Google Sheets","-- / 0","","Control de membresías;Cobro y pagos pendientes;Asistencia o accesso","-- / 0","","3","-- / 0","","Membresias;Asistencia;Planes de entrenamiento","-- / 0","","Computadora","-- / 0","","Según condiciones","-- / 0","","Necesito una demostación antes de responder","-- / 0","","Personalización","-- / 0","","Importante","-- / 0","","","-- / 0","","","","","","","","","","","","","","","","","","","","","",""
"2026/07/12 10:21:56 p.m. GMT-6","0.00 / 0","Sí, acepto participar.","-- / 0","","Miembro o cliente de un gimnasio","-- / 0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3-4 veces","-- / 0","","Ninguna","-- / 0","","Progreso;Alertas","-- / 0","","Celular","-- / 0","","5","-- / 0","","Sí","-- / 0","","La dejaría de usar si es muy lenta, si no puedo colocar mi progreso, incluso en peso, por ejemplo que quiera poner cuánto peso hago en sentadillas, etc. ","-- / 0",""
"2026/07/12 10:24:46 p.m. GMT-6","0.00 / 0","Sí, acepto participar.","-- / 0","","Miembro o cliente de un gimnasio","-- / 0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3-4 veces","-- / 0","","Ninguna","-- / 0","","Recordar vencimientos;Progreso","-- / 0","","Celular","-- / 0","","5","-- / 0","","Sí","-- / 0","","Si no es de acuerdo a lo que promete la aplicación, si no funciona de manera adecuada o si no le dan mantenimiento o actualizaciones constantes para mejorarla ","-- / 0",""
"2026/07/17 2:17:47 p.m. GMT-6","0.00 / 0","Sí, acepto participar.","-- / 0","","Dueño o administrador de gimnasio","-- / 0","","Pérez Zeledón","-- / 0","","76-150","-- / 0","","Cuaderno o formularios en papel","-- / 0","","Cobro y pagos pendientes","-- / 0","","3","-- / 0","","Miembros;Membresias;Pagos;Asistencia;Planes de entrenamiento;Sesiones y progreso;Alertas o reportes","-- / 0","","Combinación de dispositivos","-- / 0","","Sí","-- / 0","","Necesito una demostación antes de responder","-- / 0","","Capacitación;Soporte por WhatsApp;Respaldo y recuperación;Personalización","-- / 0","","Muy importante","-- / 0","","Ser de manejo sencillo y rápida ","-- / 0","","","","","","","","","","","","","","","","","","","","","",""
"2026/07/17 5:14:23 p.m. GMT-6","0.00 / 0","Sí, acepto participar.","-- / 0","","Entrenador con responsabilidades administrativas","-- / 0","","Pérez Zeledón","-- / 0","","No sé","-- / 0","","Software especializado","-- / 0","","Cobro y pagos pendientes","-- / 0","","2","-- / 0","","Sesiones y progreso","-- / 0","","Combinación de dispositivos","-- / 0","","Tal vez","-- / 0","","Necesito una demostación antes de responder","-- / 0","","Personalización","-- / 0","","Muy importante","-- / 0","","","-- / 0","","","","","","","","","","","","","","","","","","","","","",""
"2026/07/17 5:56:14 p.m. GMT-6","0.00 / 0","Sí, acepto participar.","-- / 0","","Entrenador con responsabilidades administrativas","-- / 0","","Pérez Zeledón","-- / 0","","Mas de 150","-- / 0","","Excel o Google Sheets;WhatsApp;Software especializado;Sistema desarrollado Internamente","-- / 0","","Ninguna","-- / 0","","1","-- / 0","","Otra","-- / 0","","Combinación de dispositivos","-- / 0","","No","-- / 0","","Necesito una demostación antes de responder","-- / 0","","Personalización","-- / 0","","Muy importante","-- / 0","","","-- / 0","","","","","","","","","","","","","","","","","","","","","",""
"2026/07/18 11:44:24 a.m. GMT-6","0.00 / 0","Sí, acepto participar.","-- / 0","","Dueño o administrador de gimnasio","-- / 0","","Pérez Zeledón","-- / 0","","76-150","-- / 0","","Sistema desarrollado Internamente","-- / 0","","Registro de miembros;Cobro y pagos pendientes;Asignación de rutinas","-- / 0","","3","-- / 0","","Alertas o reportes","-- / 0","","Celular","-- / 0","","Sí","-- / 0","","7.500 -15.000","-- / 0","","Soporte por WhatsApp","-- / 0","","Muy importante","-- / 0","","Que sea ágil y fácil de usar","-- / 0","","","","","","","","","","","","","","","","","","","","","",""
"2026/07/20 3:28:48 p.m. GMT-6","0.00 / 0","Sí, acepto participar.","-- / 0","","Miembro o cliente de un gimnasio","-- / 0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1-2 veces","-- / 0","","Ninguna","-- / 0","","Encontrar la rutina;Registro de sesiones;Progreso","-- / 0","","Celular","-- / 0","","5","-- / 0","","Que sea gratuita ","-- / 0","","Publicidad en la app ","-- / 0",""
"2026/07/20 11:01:39 p.m. GMT-6","0.00 / 0","Sí, acepto participar.","-- / 0","","Miembro o cliente de un gimnasio","-- / 0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3-4 veces","-- / 0","","Ninguna","-- / 0","","Encontrar la rutina;Guías generales","-- / 0","","Celular","-- / 0","","5","-- / 0","","1. Capacidad de seguir y actualizar la rutina 2. Que tenga asistencia para llevar el tiempo y conteo de reps 3. Que los entrenadores me puedan actualizar la rutina rápidamente ","-- / 0","","La existencia de funcionalidades esenciales y poca fricción de integración con el gimnasio al que asisto ","-- / 0",""
"2026/07/21 4:45:37 a.m. GMT-6","0.00 / 0","Sí, acepto participar.","-- / 0","","Miembro o cliente de un gimnasio","-- / 0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3-4 veces","-- / 0","","Ninguna","-- / 0","","Recordar vencimientos","-- / 0","","Celular","-- / 0","","4","-- / 0","","Rutina","-- / 0","","Que falle","-- / 0",""
